id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights,total_reviews,avg_rating
4,Union Station,5/2/2010,F,,4,Entire home/apt,4,1 bath,1,3,645,31,15,4.77
6,Shaw,10/31/2009,F,0.91,8,Entire home/apt,4,1 bath,2,3,80,31,196,4.35
9,Dupont Circle,6/20/2011,F,0,1,Entire home/apt,2,1 bath,1,1,135,31,31,4.83
11,Shaw,10/31/2009,F,0.91,8,Entire home/apt,4,1 bath,2,2,80,31,188,4.3
14,Shaw,12/14/2011,T,0.86,1,Entire home/apt,2,1 bath,1,1,185,2,164,4.84
15,Dupont Circle,12/22/2011,F,1,1,Entire home/apt,4,1 bath,1,3,149,3,70,4.89
16,Dupont Circle,7/1/2011,F,0.46,12,Entire home/apt,4,1 bath,2,3,198,5,19,4.56
17,Union Station,1/25/2012,F,,6,Entire home/apt,3,2 baths,2,2,129,90,1,4
19,Capitol Hill,9/1/2011,T,0.73,4,Entire home/apt,3,1 bath,1,1,184,2,152,4.78
20,Capitol Hill,3/12/2012,T,0.98,3,Entire home/apt,4,1 bath,1,2,200,3,268,4.79
21,Capitol Hill,3/30/2012,T,0.91,7,Entire home/apt,2,1 bath,,1,153,2,578,4.88
22,Capitol Hill,9/21/2009,T,0.96,2,Entire home/apt,5,2 baths,2,3,135,3,374,4.91
23,Union Station,4/29/2012,T,1,1,Entire home/apt,2,1 bath,1,1,100,2,917,4.88
24,Capitol Hill,6/8/2012,F,0.82,3,Entire home/apt,4,1 bath,1,2,130,3,253,4.86
25,Capitol Hill,6/17/2012,F,0.67,2,Entire home/apt,2,1 bath,1,1,145,31,31,4.9
27,Dupont Circle,6/28/2012,F,1,3,Entire home/apt,2,1 bath,,1,120,1,113,4.76
33,Union Station,11/12/2011,T,0.98,3,Entire home/apt,2,1 bath,1,1,125,2,723,4.87
35,Dupont Circle,11/22/2012,F,,5,Entire home/apt,2,1 bath,1,1,140,180,24,4.91
36,Shaw,10/31/2009,F,0.91,8,Entire home/apt,2,1 bath,1,1,75,31,164,4.22
39,Capitol Hill,1/5/2013,F,,1,Entire home/apt,3,1 bath,1,1,120,31,18,4.83
